first_name,last_name,rif,email,nombre_inmueble,balanceinicial,alicuota,junta_de_condominio,cargo,arrendado,arrendatario
Aarika,Gerhardt,45567,lgerhardt0@livejournal.com,Jo ann,380592.13,1,false,Stridex,false,Lindsay
Madelin,Ouldred,32179,vouldred1@adobe.com,Muffin,483009.0,1,false,Glycopyrrolate,true,Vin
Maxim,Hellcat,23963,chellcat2@youtube.com,Avery,304810.93,1,true,stila CC color correcting broad-spectrum SPF 20 01 FAIR,false,Carlota
Christel,Wollen,8112,dwollen3@admin.ch,Cassi,121445.57,1,true,Naproxen,false,Dionne
Filberte,Leebeter,27397,wleebeter4@shop-pro.jp,Happy,329293.16,1,false,ConRx Allergy,true,Wileen
Ilsa,Marriage,33992,cmarriage5@istockphoto.com,Irv,359781.76,1,true,PENICILLIUM CHRYSOGENUM VAR CHRYSOGENUM,true,Clemens
Timmy,Beazey,29900,lbeazey6@ihg.com,Cymbre,62518.81,1,false,Gabapentin,true,Lynne
Emlynne,Basnett,41534,jbasnett7@usda.gov,Essie,492451.18,1,true,Solar Sense Zany Zinc SPF 50 - Yellow,false,Janka
Marylin,Rennick,45537,jrennick8@cisco.com,Blancha,282399.5,1,false,Carbon Dioxide Oxygen Mix,false,Johnette
Harriet,Heddon,46829,gheddon9@uol.com.br,Gregorio,372257.86,1,true,SUPRAX,true,Gilbert
Gabriel,Pinnion,1040,dpinniona@unc.edu,Kaleb,156619.31,1,false,Bodycology white gardenia anti-bacterial foaming hand soap,false,Dael
Alayne,Samweyes,4790,gsamweyesb@smh.com.au,Emerson,196251.79,1,false,Exelon,false,Goldie
Annabelle,Borth,45203,cborthc@epa.gov,Waylon,456722.29,1,true,meloxicam,true,Caro
Ardisj,Blurton,41831,eblurtond@digg.com,Alexio,150936.85,1,true,Lovastatin,true,Evin
Opaline,O'Currigan,36989,eocurrigane@de.vu,Glyn,456595.03,1,true,NARS Pure Radiant Tinted Moisturizer,false,Eddie
Hakeem,Pundy,18229,spundyf@wired.com,Hanson,241546.64,1,true,Lisinopril,false,Sydney
Shell,Schout,26849,sschoutg@hp.com,Hinze,430346.65,1,false,Timolol Maleate,true,Staci
Nelie,Hudson,12407,phudsonh@last.fm,Jolynn,165502.2,1,false,Cultivated Wheat,true,Pearce
Irwinn,Luckcuck,36332,kluckcucki@is.gd,Lindi,120944.02,1,false,BP Wash,true,Koenraad
Eadith,Fiddyment,8412,gfiddymentj@sciencedaily.com,Martie,464079.52,1,false,Hydroxyzine Hydrochloride,false,Gavrielle
Kenneth,Delahunty,43717,qdelahuntyk@sphinn.com,Lorettalorna,49374.71,1,true,ProCure Hand Sanitizing,true,Quintilla
Ronny,Etchingham,26743,ketchinghaml@networkadvertising.org,Lyssa,334605.34,1,true,Herbalgy,true,Kevyn
Ignace,Sweetland,19538,psweetlandm@networksolutions.com,Garwood,229293.02,1,true,Upset Stomach Relief to Go,false,Pablo
Barbe,Servis,11166,eservisn@etsy.com,Gerick,442213.72,1,false,Buspirone HCl,false,Ealasaid
Suellen,Boas,95,aboaso@chron.com,Roze,92847.82,1,true,Fulton Street Market Anti itch,true,Aviva
Ana,Linke,6394,clinkep@phpbb.com,Tadeas,366094.06,1,false,Clinical Strength MiracleDry Antiperspirant Deodorant PM,false,Catarina
Jarib,Henrion,4878,mhenrionq@huffingtonpost.com,Horatia,372279.7,1,false,Nuvel Softy Roll-on Antiperspirant Deodorant,true,Maia
Gillan,Bramley,247,pbramleyr@slate.com,Blake,201107.01,1,true,Dandruff,true,Phedra
Gaby,Laugier,30460,tlaugiers@hhs.gov,Erinna,352126.95,1,false,Doxazosin,true,Timoteo
Swen,Sighart,25382,lsighartt@soup.io,Fidel,109465.38,1,true,Acid Free-Flux,true,Leon
Tedmund,Hyndson,47216,phyndsonu@ameblo.jp,Elie,435343.79,1,false,Peach,true,Phylys
Ahmad,Lintot,28995,tlintotv@etsy.com,Dita,394339.53,1,true,Professional-C Suncare Broad Spectrum SPF 30,false,Tyson
Thibaut,Mebius,49619,vmebiusw@tamu.edu,Elane,426743.92,1,true,Glipizide,false,Valerie
Justino,Casewell,21292,bcasewellx@seesaa.net,Laurianne,294783.51,1,false,BAMBOO SALT Eunganggo Jook Yeom Toothpaste,false,Bret
Fedora,Duchesne,26078,cduchesney@cargocollective.com,Shaughn,410998.91,1,false,Lisinopril,true,Candide
Candie,Benjafield,46933,kbenjafieldz@i2i.jp,Mable,17495.66,1,true,Natelle One,true,Kathleen
Ashlan,Wyld,24585,rwyld10@hugedomains.com,Buddy,411506.11,1,true,Boolicious Antibacterial Hand,false,Ruggiero
Dougy,Eastway,7731,eeastway11@illinois.edu,Martita,100603.24,1,false,Smooth texture Orange flavor,true,Ebba
Hernando,Littell,45661,llittell12@blogtalkradio.com,Herby,263790.85,1,true,SunMark All Day Allergy,true,Leia
Alfredo,Broinlich,24531,lbroinlich13@ft.com,Devy,445303.49,1,true,simvastatin,true,Lodovico
Filmer,Hordle,8865,lhordle14@cbslocal.com,Clint,44534.26,1,true,Fentanyl Citrate,false,Lorry
Liam,Abdee,22879,tabdee15@weibo.com,Yettie,227762.0,1,true,Lamotrigine,false,Tamara
Rasia,Gianotti,4531,ggianotti16@studiopress.com,Jacinthe,426183.34,1,true,DOUBLE WEAR,true,Gelya
Pet,Jedrzej,4920,jjedrzej17@sakura.ne.jp,Kelwin,217555.5,1,true,Diltiazem Hydrochloride,false,Jenilee
Adrienne,Gomersall,33962,igomersall18@merriam-webster.com,Roxane,297192.54,1,false,Chlorpromazine Hydrochloride,false,Izabel
Say,Wrench,19452,cwrench19@cloudflare.com,Stavros,445093.93,1,false,Lithium,true,Corabel
Derwin,Hawksworth,35055,lhawksworth1a@sciencedaily.com,Rriocard,1977.29,1,false,FluoriSHIELD,false,Leigha
Derek,Rilton,6148,trilton1b@dell.com,Davidson,437227.22,1,true,Sodium Chloride,false,Tandy
Hobie,Eschalotte,829,eeschalotte1c@jimdo.com,Caril,334522.34,1,false,Stomach Cramps 1,false,Elana
Adelaida,Pickaver,40317,hpickaver1d@devhub.com,Tabby,61337.59,1,false,Ciprofloxacin,false,Hester
Bernhard,Girodon,16474,agirodon1e@digg.com,Ivonne,476772.37,1,true,Dicyclomine,true,Atlanta
Vivianna,Morfett,1480,fmorfett1f@51.la,Skipp,206211.99,1,false,Choice Personal Care Theraputic Blue Ice,false,Fancy
Munroe,Bergstrand,26155,abergstrand1g@amazon.co.uk,Yurik,338155.69,1,true,Daytime cold and flu,false,Angelique
Inger,Behne,6940,vbehne1h@dailymail.co.uk,Fons,220494.79,1,false,Strattera,false,Verena
Ansel,Minshull,24031,jminshull1i@topsy.com,Geraldine,133502.92,1,false,Repronex,true,Jeri
Hertha,Pybworth,34185,apybworth1j@trellian.com,Keeley,43788.23,1,false,Prochlorperazine Maleate,true,Ashely
Amabelle,Gonsalvez,24917,kgonsalvez1k@latimes.com,Orlan,338075.55,1,false,Glipizide,true,Katuscha
Rebe,Walczak,10797,lwalczak1l@google.co.uk,Norine,109436.15,1,true,Zep Provisions Pot and Pan Premium,true,Livia
Ally,Merfin,42050,lmerfin1m@berkeley.edu,Quillan,378868.03,1,true,Ampicillin,false,Lina
Fallon,Chander,11408,mchander1n@gizmodo.com,Libbi,357565.36,1,false,BANANA BOAT,true,Melodee
Sharla,Vannuchi,41411,avannuchi1o@etsy.com,Berti,127988.7,1,true,Walgreens Advanced Anti-Wrinkle and Firming Day Cream Broad Spectrum SPF18 Sunscreen,true,Alexina
Alexa,Olenov,22536,molenov1p@nifty.com,Forester,77817.01,1,true,Tolnaftate,false,Mada
Bari,Dooler,136,tdooler1q@plala.or.jp,Mable,377600.69,1,false,Salsalate,false,Thibaut
Yasmin,McNally,22982,pmcnally1r@google.de,Elmer,369946.34,1,true,Hydroxyzine Hydrochloride,true,Pearl
Kellen,Lowing,20826,vlowing1s@netlog.com,Harris,459958.03,1,true,Physostigmine Salicylate,true,Vladimir
Chrysa,Myrkus,9825,wmyrkus1t@cisco.com,Katheryn,352025.31,1,false,Constitutional Immuno,true,Wyatt
Julio,McAlinden,37950,kmcalinden1u@opensource.org,Dorree,363220.23,1,true,COFFEE BEAN,true,Killie
Courtney,Carus,45691,acarus1v@mapy.cz,Dominique,110240.77,1,true,infants fever reducer and pain reliever,true,Agathe
Lindsy,Spracklin,35607,cspracklin1w@dyndns.org,Rory,303746.92,1,false,ACYCLOVIR,true,Curtis
Frankie,Drinan,11122,cdrinan1x@nature.com,Fergus,62677.6,1,true,Cold Multi-Symptom Severe,false,Constantina
Sly,Weatherdon,8552,aweatherdon1y@earthlink.net,Selina,165076.79,1,false,Sodium Chloride,false,Anestassia
Kimball,Szach,49948,bszach1z@theglobeandmail.com,Nissy,42075.62,1,true,Duravent PE,true,Batholomew
Lucho,Akroyd,2937,rakroyd20@wired.com,Wolfy,496819.37,1,false,Cleocin Phosphate,true,Rutledge
Leonanie,Trimble,3959,htrimble21@salon.com,Deane,277312.3,1,true,MORUS ALBA POLLEN,false,Harrietta
Malvina,Melville,45962,amelville22@washingtonpost.com,Tana,348804.65,1,true,DawnMist Antiperspirant Deodorant,true,Aggie
Logan,Congrave,39129,ccongrave23@foxnews.com,Adelle,497362.63,1,false,Bicalutamide,true,Clare
Erik,Franciottoi,13758,pfranciottoi24@illinois.edu,Rahel,251878.54,1,true,Coffea cruda,false,Portia
Gleda,Tutill,49907,mtutill25@studiopress.com,Ive,415653.01,1,true,Healthy Accents Nicotine,false,Maryl
Bernetta,Collington,12214,icollington26@forbes.com,Wade,173608.05,1,true,OXYGEN,false,Ileana
Margy,Okill,2136,zokill27@oakley.com,Dermot,394811.85,1,true,Verapamil Hydrochloride,true,Zulema
Abey,Tointon,14273,wtointon28@bandcamp.com,Claudell,47763.4,1,true,Fentanyl,true,Winny
Dyna,Lomax,48294,elomax29@nifty.com,Adena,489272.42,1,false,Hydralazine Hydrochloride,true,Enrika
Allyson,Tomanek,24403,ktomanek2a@w3.org,Job,456901.22,1,true,Glipizide,false,Klarrisa
Lock,Slaight,25775,sslaight2b@smh.com.au,Bobby,217843.08,1,true,Australian Gold,false,Sidnee
Lyon,Embra,25475,dembra2c@alexa.com,Iona,419938.64,1,false,PLAGENTRA MOTHERS BELLY,true,Davidson
Mellisent,Copes,15626,bcopes2d@deviantart.com,Bobbi,36367.89,1,true,TopCare,false,Belicia
Shadow,Gatus,12961,rgatus2e@bravesites.com,Annetta,114766.85,1,true,Menopause,true,Rand
Aryn,Ridel,43047,aridel2f@omniture.com,Milton,349188.39,1,false,PCXX NEUTRAL GEL VANILLA ORANGE,true,Ashely
Loria,Ulster,46059,lulster2g@bloglovin.com,Killie,488129.5,1,true,Chewable Low Dose Aspirin,true,Leroi
Ignacio,Niesegen,8700,vniesegen2h@va.gov,Sharlene,130189.7,1,false,Digoxin,true,Valery
Lynea,Dinnis,26744,adinnis2i@yellowbook.com,Mile,123377.83,1,true,cough relief,true,Aile
Netti,Budnik,41697,mbudnik2j@xing.com,Ezechiel,419927.53,1,false,Butrans,false,Malynda
Freeland,Eddy,44993,eeddy2k@globo.com,Missy,395595.13,1,true,ck one all day perfection face makeup,true,Em
Juliana,Bartrap,32906,mbartrap2l@seattletimes.com,Cheslie,350776.44,1,false,SKIN CAVIAR CONCEALER FOUNDATION SUNSCREEN SPF 15 - Peche,true,Madelon
Cassie,Ladley,18212,gladley2m@google.de,Anita,422156.83,1,false,Equaline Cough DM,true,Gardy
Alonso,Lomasna,48484,clomasna2n@icq.com,Fifi,190243.6,1,true,Nite Time Day Time,false,Caritta
Venus,Grenville,46832,wgrenville2o@google.pl,Shelbi,182317.76,1,true,Sumatriptan,false,Winfred
Melany,Ferdinand,36652,bferdinand2p@amazon.co.jp,Skylar,104262.05,1,true,Antispetic,true,Brynn
Giustina,McGaw,37980,tmcgaw2q@xrea.com,Antone,348417.39,1,true,Triamcinolone Acetonide,false,Temp
Ebeneser,Rosenwasser,26167,rrosenwasser2r@symantec.com,Samson,141532.17,1,true,ARC FIRST AID Contains 404 PIECES,true,Rosana
